ID,Material Name,Category,Density (g/cm3),Yield Strength (MPa),Tensile Strength (MPa),Hardness,Young's Modulus (GPa),Fatigue Strength (MPa),Elongation (%),Thermal Cond. (W/mÂ·K),Electrical Cond. (MS/m),Specific Heat (J/kgÂ·K),Melting Point (Â°C),Max Service Temp (Â°C),Corrosion Resistance,Wear Resistance,Impact Toughness,Weldability,Machinability,Formability,Cost,Weight,Recyclability,Magnetic,Common Applications,Manufacturing Methods,Advantages,Limitations,Keywords,Material Family,Source Reference,Confidence Level,CO2 Footprint (kg CO2/kg),Datasheet URL,Best: Lightweight,Best: High Temp,Best: Low Cost,Best: Corrosion Resist.,Best: 3D Printing
62,Zinc Alloy Zamak 5,Zinc Alloy,6.7,230,328,91 HB,96,62,7,109,15.6,419,386,100,Fair,Medium-High,Medium,Poor,Excellent,Excellent (die casting),Low,Heavy,High,No,Gears;automotive brackets;hardware fittings,Die Casting,Higher strength/hardness than Zamak 3;excellent castability,Lower ductility than Zamak 3;low max service temperature,"zamak 5, zinc alloy",Zinc Alloy,To be verified,Typical,N/A,N/A,No,No,Yes,No,No
63,Ceramic - Alumina (96% Al2O3),Technical Ceramic,3.7,,210,1500 HV,300,,0,20,0,880,2050,1600,Excellent (chemically inert),Very High,Very Low (brittle),N/A (not welded),Poor (diamond grinding required),"Poor (fixed shape, pressed/sintered)",Medium,Medium,Low,No,Insulators;wear-resistant liners;seal rings;electronic substrates,Dry Pressing;Sintering;Diamond Grinding,Excellent hardness/wear resistance;electrical insulator;stable at very high temperature,"Very brittle, low fracture toughness;costly to machine","alumina, al2o3, ceramic",Technical Ceramic,Accuratus 96% Alumina datasheet - verified,Verified (spot-checked),N/A,N/A,No,Yes,No,Yes,No
64,Ceramic - Zirconia (Y-TZP),Technical Ceramic,6.05,,350,1250 HV,205,,0,2.5,0,450,2700,1000,Excellent,Very High,Low-Medium (highest toughness among technical ceramics),N/A (not welded),Poor (diamond grinding required),Poor (pressed/sintered),High,Medium,Low,No,Dental/medical implants;cutting tools;oxygen sensors;pump seals,Isostatic Pressing;Sintering;Diamond Grinding,Highest fracture toughness of technical ceramics;biocompatible;wear resistant,High cost;low-temperature degradation risk in humid environments,"zirconia, y-tzp, ceramic",Technical Ceramic,To be verified,Typical,N/A,N/A,No,Yes,No,Yes,No
65,Ceramic - Silicon Carbide (Sintered SiC),Technical Ceramic,3.1,,300,2500 HV,410,,0,120,0,670,2730,1600,Excellent,Very High (among hardest engineering ceramics),Very Low (brittle),N/A (not welded),Poor (diamond grinding required),Poor (pressed/sintered),High,Medium,Low,No,Mechanical seals;bearings;kiln furniture;semiconductor wafer handling,Pressureless Sintering;Hot Pressing;Diamond Grinding,Extreme hardness and wear resistance;retains strength to very high temperature;low thermal expansion,Very brittle;expensive to machine,"silicon carbide, sic, ceramic",Technical Ceramic,To be verified,Typical,N/A,N/A,No,Yes,No,Yes,No
66,Polymer - Polypropylene (PP),Polymer,0.905,32,34,90 R-scale (Rockwell R),1.5,14,150,0.22,0,1920,165,100,Excellent (chemical resistance),Low,Medium,N/A (not welded like metal),Fair (gummy),Excellent,Low,Very Light,Medium-High,No,Living hinges;packaging;automotive battery cases;lab equipment,Injection molding;Extrusion;Blow molding,Excellent fatigue/living-hinge performance;low cost;good chemical resistance,Low stiffness;UV degrades without stabilizers,"pp, polypropylene",Polymer,To be verified,Typical,N/A,N/A,Yes,No,Yes,No,No
67,Polymer - PLA,Polymer,1.24,60,60,83 Shore D,3.5,20,6,0.13,0,1800,165,55,Good,Low,Low (brittle vs ABS),N/A (not welded like metal),Good,Fair,Low,Light,"Medium (industrially compostable, biobased)",No,3D printed prototypes;consumer product mockups;biodegradable packaging,FDM/FFF 3D Printing;Injection molding,Easiest polymer to 3D print;low warping;biobased/compostable option,Low heat resistance;brittle;poor outdoor UV/humidity durability,"pla, 3d printing, biodegradable",Polymer,NatureWorks Ingeo-type PLA resin datasheet - verified (bulk/injection values; FDM-printed parts run lower),Verified (spot-checked),N/A,N/A,Yes,No,Yes,No,Yes
68,Polymer - HDPE,Polymer,0.955,26,30,R-scale 60 (Shore D65),1.1,12,500,0.48,0,1900,130,80,Excellent,Medium,High,N/A (not welded like metal),Good,Excellent,Low,Very Light,High (most recycled plastic),No,Piping;chemical tanks;cutting boards;bottles/containers,Blow molding;Injection molding;Extrusion,Excellent chemical resistance and toughness;widely recyclable;low cost,Low stiffness/strength;prone to environmental stress cracking,"hdpe, polyethylene",Polymer,To be verified,Typical,N/A,N/A,Yes,No,Yes,Yes,No
69,Polymer - POM (Acetal / Delrin),Polymer,1.41,65,70,R-scale 120 (Rockwell M94),2.8,35,40,0.31,0,1470,175,100,Good (poor in strong acids),Very High,Medium,N/A (not welded like metal),Excellent,Good,Medium,Light,Low-Medium,No,Precision gears;bushings;conveyor components;snap-fit parts,Injection molding;Machining,Excellent dimensional stability and low friction;outstanding machinability,Poor UV resistance;not suitable for strong acids,"pom, acetal, delrin",Polymer,To be verified,Typical,N/A,N/A,Yes,No,No,No,No
70,Polymer - TPU (Flexible),Polymer,1.21,,40,85 Shore A,0.03,10,450,0.25,0,1800,,80,Good,High (excellent abrasion resistance),Very High (highly elastic/flexible),N/A (not welded like metal),"Poor (flexible, hard to machine)",Excellent,Medium,Light,Low,No,Flexible 3D printed parts;phone cases;gaskets;shoe soles,FDM 3D Printing;Injection molding;Extrusion,Rubber-like flexibility with thermoplastic processability;excellent abrasion resistance,Difficult to print at high speed;poor dimensional stiffness,"tpu, flexible, 3d printing, elastomer",Polymer,To be verified,Typical,N/A,N/A,Yes,No,No,No,Yes
71,Elastomer - Silicone Rubber,Elastomer,1.2,,8,50 Shore A,0.005,,400,0.2,0,1300,,230,Excellent,Low,"N/A (elastomer, absorbs impact)",N/A (not welded),Poor,Excellent (molding),Medium,Light,Low,No,Gaskets and seals;medical tubing;bakeware;electrical insulation,Compression molding;Injection molding;Extrusion,Extreme temperature range performance (-60 to 230C);excellent flexibility retention;biocompatible grades available,Low tear/tensile strength;poor abrasion resistance,"silicone rubber, elastomer, gasket",Elastomer,To be verified,Typical,N/A,N/A,Yes,Yes,No,Yes,No
72,Refractory Metal - Tungsten (Pure W),Refractory Metal,19.3,620,980,"350 HV (wrought, annealed)",411,300,2,173,18.9,134,3422,1500,Poor (oxidizes above ~500C in air); good at room temp,High,"Low (brittle, high DBTT for many product forms)",Poor (requires special techniques),"Poor (very hard, high tool wear)",Poor (requires high-temp working),High,Very Heavy,High,No,Filaments;X-ray targets;radiation shielding;high-temp furnace parts;counterweights,Powder Metallurgy (Press & Sinter);Machining;EDM,Highest melting point of all metals;highest density of common engineering metals;excellent high-temp strength retention,Oxidizes readily in air above ~500C;brittle/difficult to machine and weld;very expensive,"tungsten, refractory metal, high density",Refractory Metal,Plansee / material-properties.org - verified (temper-dependent),Verified (spot-checked; strongly temper/form dependent),N/A,N/A,No,Yes,No,No,No
